, Spurning,  Month,Vegið meðaltal
1,Framsókn - Þingsæti,2024-08,"4,0"
2,Framsókn - Þingsæti,2024-09,"4,0"
3,Viðreisn - Þingsæti,2024-08,"6,0"
4,Viðreisn - Þingsæti,2024-09,"6,0"
5,Sjálfstæðisflokkurinn - Þingsæti,2024-08,"11,0"
6,Sjálfstæðisflokkurinn - Þingsæti,2024-09,"9,0"
7,Flokkur fólksins - Þingsæti,2024-08,"4,0"
8,Flokkur fólksins - Þingsæti,2024-09,"4,0"
9,Sósíalistaflokkurinn - Þingsæti,2024-08,"3,0"
10,Sósíalistaflokkurinn - Þingsæti,2024-09,"3,0"
11,Miðflokkurinn - Þingsæti,2024-08,"10,0"
12,Miðflokkurinn - Þingsæti,2024-09,"13,0"
13,Píratar - Þingsæti,2024-08,"5,0"
14,Píratar - Þingsæti,2024-09,"5,0"
15,Samfylkingin - Þingsæti,2024-08,"20,0"
16,Samfylkingin - Þingsæti,2024-09,"19,0"
17,VG - Þingsæti,2024-08,"0,0"
18,VG - Þingsæti,2024-09,"0,0"
19,Aðrir flokkar - Þingsæti,2024-08,"0,0"
20,Aðrir flokkar - Þingsæti,2024-09,"0,0"
